order_id,order_date,customer_id,product_id,category,region,quantity,unit_price,discount,revenue
ORD-001000,2026-01-01,CUST-0380,ELEC-015,Electronics,North,4,103.19,18.17,394.59
ORD-001001,2026-01-01,CUST-0115,HOME-001,Home Appliances,South,7,407.07,348.55,2500.94
ORD-001002,2026-01-01,CUST-0347,ELEC-018,Electronics,North,1,269.51,28.76,240.75
ORD-001003,2026-01-01,CUST-0303,SPT-010,Sports,North,3,493.64,171.33,1309.59
ORD-001004,2026-01-01,CUST-0016,CLO-010,Clothing,North,5,304.98,211.88,1313.02
ORD-001005,2026-01-01,CUST-0120,ELEC-012,Electronics,South,2,485.41,16.87,953.95
ORD-001006,2026-01-01,CUST-0288,SPT-005,Sports,North,7,151.25,135.0,923.75
ORD-001007,2026-01-01,CUST-0113,MOB-006,Mobile Accessories,West,4,395.81,78.58,1504.66
ORD-001008,2026-01-01,CUST-0415,CLO-013,Clothing,East,7,110.05,35.93,734.42
ORD-001009,2026-01-01,CUST-0358,ELEC-001,Electronics,South,5,196.65,107.61,875.64
ORD-001010,2026-01-01,CUST-0143,CLO-010,Clothing,East,6,304.98,243.52,1586.36
ORD-001011,2026-01-01,CUST-0491,ELEC-020,Electronics,South,1,156.25,8.97,147.28
ORD-001012,2026-01-01,CUST-0048,HOME-009,Home Appliances,North,7,456.02,341.52,2850.62
ORD-001013,2026-01-01,CUST-0184,CLO-004,Clothing,North,1,280.15,30.33,249.82
ORD-001014,2026-01-01,CUST-0414,HOME-010,Home Appliances,East,7,140.51,113.75,869.82
ORD-001015,2026-01-01,CUST-0275,ELEC-006,Electronics,West,7,90.66,3.85,630.77
ORD-001016,2026-01-01,CUST-0041,ELEC-016,Electronics,West,7,103.95,46.67,680.98
ORD-001017,2026-01-01,CUST-0296,HOME-003,Home Appliances,East,2,62.37,8.22,116.52
ORD-001018,2026-01-01,CUST-0024,MOB-005,Mobile Accessories,North,3,236.19,3.34,705.23
ORD-001019,2026-01-01,CUST-0041,MOB-010,Mobile Accessories,East,7,37.53,18.73,243.98
ORD-001020,2026-01-01,CUST-0195,MOB-010,Mobile Accessories,North,5,37.53,14.31,173.34
ORD-001021,2026-01-01,CUST-0326,HOME-001,Home Appliances,West,6,407.07,51.05,2391.37
ORD-001022,2026-01-01,CUST-0190,CLO-002,Clothing,South,7,166.18,71.61,1091.65
ORD-001023,2026-01-01,CUST-0344,CLO-001,Clothing,South,3,336.32,30.73,978.23
ORD-001024,2026-01-01,CUST-0312,MOB-015,Mobile Accessories,North,5,483.33,27.91,2388.74
ORD-001025,2026-01-01,CUST-0084,MOB-002,Mobile Accessories,South,3,82.65,25.84,222.11
ORD-001026,2026-01-01,CUST-0139,CLO-015,Clothing,West,4,172.79,96.39,594.77
ORD-001027,2026-01-01,CUST-0432,MOB-009,Mobile Accessories,East,5,302.32,67.03,1444.57
ORD-001028,2026-01-01,CUST-0421,ELEC-008,Electronics,South,5,435.1,284.38,1891.12
ORD-001029,2026-01-01,CUST-0206,ELEC-005,Electronics,East,4,90.67,11.88,350.8
ORD-001030,2026-01-01,CUST-0109,MOB-015,Mobile Accessories,North,4,483.33,258.84,1674.48
ORD-001031,2026-01-01,CUST-0336,HOME-006,Home Appliances,South,3,74.19,10.83,211.74
ORD-001032,2026-01-01,CUST-0453,SPT-004,Sports,West,7,188.03,176.92,1139.29
ORD-001033,2026-01-01,CUST-0136,CLO-014,Clothing,South,7,36.94,35.17,223.41
ORD-001034,2026-01-01,CUST-0382,ELEC-018,Electronics,South,1,269.51,9.21,260.3
ORD-001035,2026-01-02,CUST-0383,SPT-009,Sports,East,5,51.16,33.03,222.77
ORD-001036,2026-01-02,CUST-0186,CLO-010,Clothing,West,7,304.98,52.73,2082.13
ORD-001037,2026-01-02,CUST-0261,MOB-009,Mobile Accessories,South,3,302.32,56.79,850.17
